id,nivel,nombre,turno,domicilio,colonia,alcaldia,sostenimiento,ubicacion,lat,lon,coordenadas
2807,Preescolar,SULIM,MATUTINO,ESTADO DE BAJA CALIFORNIA MZ. 24 LT. 2,BUENAVISTA,IZTAPALAPA,Particular,"ESTADO DE BAJA CALIFORNIA MZ. 24 LT. 2, BUENAVISTA, IZTAPALAPA",,,
2808,Preescolar,CALMECAC,MATUTINO,SAN MARCOS NO. 29,SANTA MARIA DEL MONTE,IZTAPALAPA,Particular,"SAN MARCOS NO. 29, SANTA MARIA DEL MONTE, IZTAPALAPA",19.3531517,-99.0886692,"19.3531517,-99.0886692"
2809,Preescolar,GUATZAPICH,MATUTINO,CANAL CALEDONIO NO. 21,INSURGENTES,IZTAPALAPA,Particular,"CANAL CALEDONIO NO. 21, INSURGENTES, IZTAPALAPA",19.3297682,-99.0542948,"19.3297682,-99.0542948"
2810,Preescolar,ESTEFANIA CASTAÑEDA,MATUTINO,JUAN DE OCHOA MZ. 47 LT. 6,FUEGO NUEVO,IZTAPALAPA,Particular,"JUAN DE OCHOA MZ. 47 LT. 6, FUEGO NUEVO, IZTAPALAPA",19.333349,-99.0959016,"19.333349,-99.0959016"
2811,Preescolar,MAQUINITA DEL SABER,MATUTINO,GERANIO MZ. 18 LT. 153,CAMPESTRE EL POTRERO,IZTAPALAPA,Particular,"GERANIO MZ. 18 LT. 153, CAMPESTRE EL POTRERO, IZTAPALAPA",19.3301441,-98.9717212,"19.3301441,-98.9717212"
2812,Preescolar,INSTITUTO PEDAGÓGICO KOKORO,MATUTINO,MALITZIN NO. 23,PORTALES,BENITO JUAREZ,Particular,"MALITZIN NO. 23, PORTALES, BENITO JUAREZ",19.365766,-99.1393097,"19.365766,-99.1393097"
2813,Preescolar,CENTRO ESCOLAR RAYITOS DEL SOL,MATUTINO,ING. ANTONIO NARRO ACUÑA NO. 171,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,Particular,"ING. ANTONIO NARRO ACUÑA NO. 171, GUADALUPE INSURGENTES, GUSTAVO A. MADERO",19.4719837,-99.133216,"19.4719837,-99.133216"
2814,Preescolar,INSTITUTO ARISTIDES QUILLET,MATUTINO,CALZADA SANTA ANITA NO. 279,VIADUCTO PIEDAD,IZTACALCO,Particular,"CALZADA SANTA ANITA NO. 279, VIADUCTO PIEDAD, IZTACALCO",19.3986793,-99.1278125,"19.3986793,-99.1278125"
2815,Preescolar,JARDIN DE NIÑOS HISPANO AMERICANO,MATUTINO,DR. ATL NOS. 193 Y 199 MARTINEZ NO. 154,SANTA MARIA LA RIBERA,CUAUHTEMOC,Particular,"DR. ATL NOS. 193 Y 199 MARTINEZ NO. 154, SANTA MARIA LA RIBERA, CUAUHTEMOC",19.4473931,-99.1565642,"19.4473931,-99.1565642"
2816,Preescolar,KIDS UNIVERSE KINDER,MATUTINO,LA JOYA NO. 213,VALLE ESCONDIDO,TLALPAN,Particular,"LA JOYA NO. 213, VALLE ESCONDIDO, TLALPAN",19.2761416,-99.1453342,"19.2761416,-99.1453342"
