Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S004015;21/02/2020;12:30;CALL. LEONESES / AVDA. MIGUEL HERNANDEZ;-;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;07
2020S004379;21/02/2020;7:58;AVDA. NICETO ALCALA ZAMORA / CTRA. ESTACION DE HORTALEZA;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2020S004194;22/02/2020;18:30;CALL. DOCTOR ESQUERDO / CALL. PEZ VOLADOR;-;RETIRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S004194;22/02/2020;18:30;CALL. DOCTOR ESQUERDO / CALL. PEZ VOLADOR;-;RETIRO;Atropello a persona;Despejado;Bicicleta;Peatón;MAYOR DE 74 AÑOS;Mujer;01
2020S004113;22/02/2020;15:35;AVDA. MENENDEZ PELAYO / CALL. IBIZA;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S004196;23/02/2020;17:25;CTRA. EL PARDO A COLMENAR VIEJO / CALL. REGIMIENTO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;02
2020S005106;23/02/2020;14:00;AVDA. MANZANARES;8;LATINA;Alcance;Despejado;Bicicleta;Conductor;DE 6 A 9 AÑOS;Mujer;07
2020S005106;23/02/2020;14:00;AVDA. MANZANARES;8;LATINA;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;07
2020S004187;23/02/2020;13:30;CALL. BERROCAL / CALL. ACANTITA;-;VILLAVERDE;Colisión lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;
2020S004404;26/02/2020;19:30;PASEO. ACACIAS / CALL. ERCILLA;-;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2020S004545;26/02/2020;13:12;AVDA. NICETO ALCALA ZAMORA;6;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;05
2020S004485;27/02/2020;17:30;AVDA. MIGUEL HERNANDEZ;11;PUENTE DE VALLECAS;Atropello a persona;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02
2020S004485;27/02/2020;17:30;AVDA. MIGUEL HERNANDEZ;11;PUENTE DE VALLECAS;Atropello a persona;Despejado;Bicicleta;Peatón;DE 10 A 14 AÑOS;Mujer;07
2020S004517;27/02/2020;8:15;AVDA. ALFONSO XIII / CALL. CARLOS PEREYRA;-;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2020S004814;28/02/2020;21:30;CALL. LA MASO / CALL. MARBELLA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02
